N,Time,X_pos,Y_pos,Value
140,23:51,0.0,1.3875,0.10125239999999999
141,23:54,0.0,1.3975,0.1032236
142,23:56,0.0,1.4075,0.1036928
143,23:59,0.0,1.4175,0.09871044
144,24:02,0.0,1.4275,0.102688
145,24:05,0.0,1.44,0.1012116
146,24:07,0.0,1.45,0.103834
147,24:09,0.0,1.46,0.1021552
148,24:12,0.0,1.47,0.103631
149,24:14,0.0,1.48,0.1013314
150,24:16,0.0,1.49,0.1011
151,24:30,-1.0,0.5075,0.017216620000000002
152,24:32,-1.0,0.5175,0.0146266
153,24:35,-1.0,0.5275,0.01337848
154,24:37,-1.0,0.54,0.01231012
155,24:39,-1.0,0.55,0.014181039999999999
156,24:42,-1.0,0.56,0.0134914
157,24:44,-1.0,0.5675,0.01295774
158,24:46,-1.0,0.5775,0.012934039999999999
159,24:48,-1.0,0.5875,0.012765519999999999
160,24:51,-1.0,0.6,0.011936684
161,24:53,-1.0,0.61,0.01332556
162,24:55,-1.0,0.62,0.010816496
163,24:58,-1.0,0.6275,0.01463294
164,25:00,-1.0,0.6375,0.013086074
165,25:02,-1.0,0.6475,0.012052460000000001
166,25:05,-1.0,0.66,0.01322342
167,25:07,-1.0,0.67,0.0126827
168,25:09,-1.0,0.68,0.01539928
169,25:12,-1.0,0.6875,0.01381944
170,25:14,-1.0,0.6975,0.01344444
171,25:16,-1.0,0.7075,0.0125171
172,25:18,-1.0,0.72,0.01354102
173,25:21,-1.0,0.73,0.0131036
174,25:23,-1.0,0.74,0.013654620000000001
175,25:26,-1.0,0.75,0.01500278
176,25:28,-1.0,0.7575,0.01467156
177,25:30,-1.0,0.7675,0.01798578
178,25:33,-1.0,0.7775,0.02099008
179,25:35,-1.0,0.79,0.0243719
180,25:38,-1.0,0.8,0.03470152
181,25:41,-1.0,0.81,0.0416733
182,25:44,-1.0,0.8175,0.044888739999999996
183,25:46,-1.0,0.8275,0.05934166
184,25:49,-1.0,0.8375,0.0651772
185,25:51,-1.0,0.85,0.07801082000000001
186,25:53,-1.0,0.86,0.08528954
187,25:55,-1.0,0.87,0.08964040000000001
188,25:58,-1.0,0.8775,0.09736662
189,26:00,-1.0,0.8875,0.09678858
190,26:02,-1.0,0.8975,0.1014654
191,26:05,-1.0,0.91,0.10009468
192,26:07,-1.0,0.92,0.1001845
193,26:09,-1.0,0.93,0.1020034
194,26:12,-1.0,0.9375,0.10488159999999999
195,26:14,-1.0,0.9475,0.1025718
196,26:16,-1.0,0.9575,0.10252346
197,26:18,-1.0,0.97,0.1033526
198,26:21,-1.0,0.98,0.1043786
199,26:23,-1.0,0.99,0.1059396
200,26:25,-1.0,1.0,0.1047352
201,26:28,-1.0,1.0075,0.1047258
202,26:30,-1.0,1.0175,0.1007786
203,26:32,-1.0,1.0275,0.1062506
204,26:35,-1.0,1.0375,0.1054722
205,26:37,-1.0,1.0475,0.1041148
206,26:39,-1.0,1.0575,0.1063204
207,26:41,-1.0,1.07,0.10371380000000001
208,26:44,-1.0,1.08,0.10541740000000001
209,26:46,-1.0,1.09,0.1045644
210,26:48,-1.0,1.1,0.1041466
211,26:51,-1.0,1.11,0.1042148
212,26:54,-1.0,1.12,0.10142559999999999
213,26:56,-1.0,1.1275,0.10165484
214,26:59,-1.0,1.1375,0.1040076
215,27:14,-2.0,0.5,0.0178337
216,27:16,-2.0,0.5075,0.01366876
217,27:18,-2.0,0.5175,0.01742194
218,27:21,-2.0,0.5275,0.0159659
219,27:23,-2.0,0.54,0.010535404
220,27:26,-2.0,0.55,0.015208580000000001
221,27:29,-2.0,0.56,0.01666742
222,27:31,-2.0,0.5675,0.011857054
223,27:34,-2.0,0.5775,0.0141651
224,27:37,-2.0,0.5875,0.01355146
225,27:39,-2.0,0.6,0.0120252
226,27:42,-2.0,0.61,0.0136215
227,27:45,-2.0,0.62,0.01282798
228,27:48,-2.0,0.6275,0.01415658
229,27:51,-2.0,0.6375,0.01659516
230,27:54,-2.0,0.6475,0.01358804
231,27:57,-2.0,0.66,0.011865954
232,28:00,-2.0,0.67,0.01501236
233,28:02,-2.0,0.68,0.01468472
234,28:05,-2.0,0.6875,0.01349668
235,28:08,-2.0,0.6975,0.01509968
236,28:11,-2.0,0.7075,0.01409492
237,28:14,-2.0,0.72,0.01329564
238,28:17,-2.0,0.73,0.0147738
239,28:19,-2.0,0.74,0.01683306
240,28:22,-2.0,0.75,0.01868982
241,28:24,-2.0,0.7575,0.01939206
242,28:27,-2.0,0.7675,0.01913504
243,28:30,-2.0,0.7775,0.02434368
244,28:33,-2.0,0.79,0.031651
245,28:36,-2.0,0.8,0.037604979999999996
246,28:39,-2.0,0.81,0.05033692
247,28:42,-2.0,0.8175,0.0548178
248,28:45,-2.0,0.8275,0.06861792
249,28:47,-2.0,0.8375,0.07504910000000001
250,28:50,-2.0,0.85,0.08404686
251,28:53,-2.0,0.86,0.08965131999999999
252,28:56,-2.0,0.87,0.09507182
253,28:59,-2.0,0.8775,0.1013498
254,29:02,-2.0,0.8875,0.1013901
255,29:05,-2.0,0.8975,0.1038368
256,29:08,-2.0,0.91,0.1018842
257,29:11,-2.0,0.92,0.1037014
258,29:14,-2.0,0.93,0.1056032
259,29:16,-2.0,0.9375,0.1041912
260,29:19,-2.0,0.9475,0.10779659999999999
261,29:22,-2.0,0.9575,0.1028926
262,29:25,-2.0,0.97,0.1055832
263,29:27,-2.0,0.98,0.105495
264,29:30,-2.0,0.99,0.104712
265,29:33,-2.0,1.0,0.1094504
266,29:35,-2.0,1.0075,0.1072588
267,29:38,-2.0,1.0175,0.10624399999999999
268,29:41,-2.0,1.0275,0.1087268
269,29:44,-2.0,1.0375,0.107404
270,29:47,-2.0,1.0475,0.10482219999999999
271,29:49,-2.0,1.0575,0.10479240000000001
272,29:52,-2.0,1.07,0.1053392
273,29:55,-2.0,1.08,0.1074576
274,29:58,-2.0,1.09,0.1064006
275,30:01,-2.0,1.1,0.1041778
276,30:03,-2.0,1.11,0.104316
277,30:06,-2.0,1.12,0.1058042
278,30:09,-2.0,1.1275,0.10631460000000001
279,30:12,-2.0,1.1375,0.1081778
280,30:26,-3.0,0.49,0.01857358
281,30:29,-3.0,0.5,0.0180128
282,30:32,-3.0,0.5075,0.02020094
283,30:35,-3.0,0.5175,0.0153177
284,30:38,-3.0,0.5275,0.01521636
285,30:40,-3.0,0.54,0.01659888
286,30:43,-3.0,0.55,0.01151008
287,30:46,-3.0,0.56,0.01649498
288,30:48,-3.0,0.5675,0.0123697
289,30:51,-3.0,0.5775,0.01540752
290,30:54,-3.0,0.5875,0.014832979999999999
291,30:56,-3.0,0.6,0.01511914
292,30:59,-3.0,0.61,0.01564198
293,31:02,-3.0,0.62,0.012438772
294,31:05,-3.0,0.6275,0.01452098
295,31:08,-3.0,0.6375,0.01473592
296,31:11,-3.0,0.6475,0.01758788
297,31:14,-3.0,0.66,0.0172845
298,31:16,-3.0,0.67,0.0130282
299,31:19,-3.0,0.68,0.01558518
300,31:21,-3.0,0.6875,0.0174301
301,31:24,-3.0,0.6975,0.014247699999999999
302,31:27,-3.0,0.7075,0.0152236
303,31:30,-3.0,0.72,0.01890574
304,31:33,-3.0,0.73,0.01733368
305,31:36,-3.0,0.74,0.01824736
306,31:39,-3.0,0.75,0.02050058
307,31:41,-3.0,0.7575,0.02210784
308,31:44,-3.0,0.7675,0.02180664
309,31:47,-3.0,0.7775,0.0274819
310,31:49,-3.0,0.79,0.03758148
311,31:52,-3.0,0.8,0.04370614
312,31:54,-3.0,0.81,0.05425726
313,31:57,-3.0,0.8175,0.0637626
314,32:00,-3.0,0.8275,0.07346088
315,32:03,-3.0,0.8375,0.08282976
316,32:05,-3.0,0.85,0.08941528
317,32:08,-3.0,0.86,0.0964936
318,32:11,-3.0,0.87,0.10046578
319,32:13,-3.0,0.8775,0.10113234
320,32:16,-3.0,0.8875,0.1043194
321,32:18,-3.0,0.8975,0.106253
322,32:21,-3.0,0.91,0.10573640000000001
323,32:23,-3.0,0.92,0.105563
324,32:26,-3.0,0.93,0.1061458
325,32:28,-3.0,0.9375,0.1088868
326,32:31,-3.0,0.9475,0.1063254
327,32:34,-3.0,0.9575,0.1070048
328,32:37,-3.0,0.97,0.1076156
329,32:40,-3.0,0.98,0.1066656
330,32:42,-3.0,0.99,0.1073824
331,32:45,-3.0,1.0,0.10587400000000001
332,32:47,-3.0,1.0075,0.109605
333,32:50,-3.0,1.0175,0.106783
334,32:53,-3.0,1.0275,0.1054638
335,32:55,-3.0,1.0375,0.1065596
336,32:58,-3.0,1.0475,0.1086006
337,33:01,-3.0,1.0575,0.1089984
338,33:03,-3.0,1.07,0.1070638
339,33:07,-3.0,1.08,0.105464
340,33:10,-3.0,1.09,0.1107336
341,33:13,-3.0,1.1,0.1075072
342,33:15,-3.0,1.11,0.10597899999999999
343,33:18,-3.0,1.12,0.1040404
344,33:21,-3.0,1.1275,0.1040868
345,33:35,-4.0,0.49,0.01504706
346,33:38,-4.0,0.5,0.01622142
347,33:40,-4.0,0.5075,0.01394098
348,33:42,-4.0,0.5175,0.01456534
349,33:45,-4.0,0.5275,0.010597492
350,33:48,-4.0,0.54,0.01271108
351,33:51,-4.0,0.55,0.01348008
352,33:54,-4.0,0.56,0.0130558
353,33:56,-4.0,0.5675,0.007656098
354,33:58,-4.0,0.5775,0.011426582
355,34:00,-4.0,0.5875,0.009337214
356,34:03,-4.0,0.6,0.01145799
357,34:05,-4.0,0.61,0.012037124
358,34:07,-4.0,0.62,0.010219298
359,34:10,-4.0,0.6275,0.0110777
360,34:12,-4.0,0.6375,0.010143776
361,34:14,-4.0,0.6475,0.0170983
362,34:16,-4.0,0.66,0.01214814
363,34:19,-4.0,0.67,0.011328996000000001
364,34:21,-4.0,0.68,0.009868548
365,34:24,-4.0,0.6875,0.01241648
366,34:27,-4.0,0.6975,0.01394156
367,34:29,-4.0,0.7075,0.01663658
368,34:32,-4.0,0.72,0.010764596
369,34:34,-4.0,0.73,0.01538368
370,34:37,-4.0,0.74,0.01301856
371,34:39,-4.0,0.75,0.0201573
372,34:42,-4.0,0.7575,0.01801708
373,34:44,-4.0,0.7675,0.02483046
374,34:47,-4.0,0.7775,0.02786284
375,34:50,-4.0,0.79,0.04213698
376,34:52,-4.0,0.8,0.04987712
377,34:55,-4.0,0.81,0.06144658
378,34:57,-4.0,0.8175,0.07083522
379,35:00,-4.0,0.8275,0.07418542
380,35:03,-4.0,0.8375,0.08455596
381,35:06,-4.0,0.85,0.09074204
382,35:08,-4.0,0.86,0.09814734
383,35:11,-4.0,0.87,0.1000028
384,35:14,-4.0,0.8775,0.0983142
385,35:17,-4.0,0.8875,0.10027024
386,35:20,-4.0,0.8975,0.09910086
387,35:22,-4.0,0.91,0.1041868
388,35:25,-4.0,0.92,0.1033222
389,35:28,-4.0,0.93,0.1025798
390,35:31,-4.0,0.9375,0.1049162
391,35:33,-4.0,0.9475,0.103473
392,35:36,-4.0,0.9575,0.09818792
393,35:39,-4.0,0.97,0.09990758
394,35:42,-4.0,0.98,0.10154056
395,35:44,-4.0,0.99,0.10392
396,35:47,-4.0,1.0,0.10068982
397,35:50,-4.0,1.0075,0.09653006
398,35:53,-4.0,1.0175,0.10201734
399,35:55,-4.0,1.0275,0.10433
400,35:58,-4.0,1.0375,0.09709244
401,36:00,-4.0,1.0475,0.09867472
402,36:03,-4.0,1.0575,0.10100244
403,36:06,-4.0,1.07,0.09710976
404,36:09,-4.0,1.08,0.1038546
405,36:12,-4.0,1.09,0.1027586
406,36:14,-4.0,1.1,0.10196068
407,36:17,-4.0,1.11,0.09908496
408,36:20,-4.0,1.12,0.1044216
409,36:34,-5.0,0.4775,0.01387246
410,36:37,-5.0,0.49,0.01331332
411,36:40,-5.0,0.5,0.010766216
412,36:42,-5.0,0.5075,0.009833476
413,36:46,-5.0,0.5175,0.008034302
414,36:49,-5.0,0.5275,0.008088612
415,36:52,-5.0,0.54,0.008714916
416,36:54,-5.0,0.55,0.010548714
417,36:57,-5.0,0.56,0.009939292
418,37:00,-5.0,0.5675,0.008343036
419,37:03,-5.0,0.5775,0.010138738
420,37:05,-5.0,0.5875,0.010846814
421,37:08,-5.0,0.6,0.01318636
422,37:11,-5.0,0.61,0.00883519
423,37:14,-5.0,0.62,0.008850086
424,37:17,-5.0,0.6275,0.00320913
425,37:19,-5.0,0.6375,0.007555284
426,37:22,-5.0,0.6475,0.007903836000000001
427,37:25,-5.0,0.66,0.010101446
428,37:28,-5.0,0.67,0.006597058
429,37:31,-5.0,0.68,0.011729914
430,37:34,-5.0,0.6875,0.011835764
431,37:36,-5.0,0.6975,0.011914298
432,37:39,-5.0,0.7075,0.011546466
433,37:42,-5.0,0.72,0.010744578
434,37:45,-5.0,0.73,0.014397448
435,37:48,-5.0,0.74,0.0164245
436,37:51,-5.0,0.75,0.01723554
437,37:53,-5.0,0.7575,0.02751106
438,37:56,-5.0,0.7675,0.0279181
439,37:58,-5.0,0.7775,0.035612740000000004
440,38:01,-5.0,0.79,0.042419319999999996
441,38:04,-5.0,0.8,0.05645478
442,38:06,-5.0,0.81,0.0670203
443,38:09,-5.0,0.8175,0.0770525
444,38:12,-5.0,0.8275,0.08145416
445,38:15,-5.0,0.8375,0.08857954
446,38:18,-5.0,0.85,0.09276104
447,38:20,-5.0,0.86,0.09350718
448,38:23,-5.0,0.87,0.09912894
449,38:25,-5.0,0.8775,0.1022142
450,38:27,-5.0,0.8875,0.10129574
451,38:30,-5.0,0.8975,0.104076
452,38:32,-5.0,0.91,0.10263939999999999
453,38:34,-5.0,0.92,0.1017812
454,38:36,-5.0,0.93,0.103321
455,38:39,-5.0,0.9375,0.10117874
456,38:41,-5.0,0.9475,0.10000948
457,38:43,-5.0,0.9575,0.104637
458,38:45,-5.0,0.97,0.10043886
459,38:48,-5.0,0.98,0.1038404
460,38:50,-5.0,0.99,0.103905
461,38:53,-5.0,1.0,0.1027684
462,38:55,-5.0,1.0075,0.1031736
463,38:58,-5.0,1.0175,0.09865684
